Track;Artist;Album;Year;Tempo;Duration_Min;Genre;Popularity;ArtistID;GenreID;TimeID
You Can't Change Me;Don Diablo;You Can't Change Me;2016;123796;311975;Future House;5;31;3;25
I Got U;Duke Dumont;EP1;2014;120837;4,75993E+16;House;60;32;8;23
Let Me Go;Duke Dumont;Duality;2015;128011;610195;Tech House;34;32;1;24
Melt;Duke Dumont;Blasé Boys Club (Pt. 1);2016;127977;4,61822E+16;Future House;52;32;3;25
Need U (100%) (feat. A*M*E) - Radio Edit;Duke Dumont;Need U (100%) (feat. A*M*E) [Remixes];2013;124031;2,90202E+16;Future House;56;32;3;22
Ocean Drive;Duke Dumont;Ocean Drive;2015;115026;3,43867E+16;House;68;32;8;24
Red Light Green Light - For Club Play Only, Pt. 6;Duke Dumont;Red Light Green Light (For Club Play Only, Pt. 6);2014;124005;3,52013E+16;Future House;58;32;3;23
The Giver (Reprise);Duke Dumont;The Giver (Reprise);2014;122742;32626;House;39;32;8;23
Therapy;Duke Dumont;Duality;2016;125986;36746;Future House;45;32;3;25
Won't Look Back;Duke Dumont;Won’t Look Back;2014;124007;450225;Future House;56;32;3;23
Angel (feat. Dante Leon);DVBBS;Angel (feat. Dante Leon);2019;128031;3,49418E+16;Tech House;32;33;1;28
Deja Vu (feat. Delora) - Radio Edit;DVBBS;Deja Vu (feat. Delora);2015;12799;37727;Future House;25;33;3;24
Need U;DVBBS;Nothing To See Here;2016;114994;3,65867E+16;Deep House;35;33;5;25
Raveology;DVBBS;Raveology;2014;12798;4,37523E+16;Future House;29;33;3;23
This Is Dirty;DVBBS;This Is Dirty;2013;128073;4,92968E+16;Tech House;39;33;1;22
Tsunami;DVBBS;Tsunami;2012;128026;39451;Tech House;66;33;1;21
White Clouds;DVBBS;White Clouds;2013;127949;4,82013E+16;Future House;23;33;3;22
Call On Me - Radio Edit;Eric Prydz;Call On Me;2004;126257;2,82377E+16;Future House;60;34;3;13
Every Day;Eric Prydz;Opus;2015;125988;7,24443E+16;Future House;51;34;3;24
Generate;Eric Prydz;Opus;2016;127;71851;Future House;46;34;3;25
Liberate;Eric Prydz;Liberate;2014;127005;5,22313E+16;Future House;46;34;3;23
